City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint George,US,37.1041,-113.5841,77.47,30,1,1.99,clear sky
1,La Palma,US,33.8464,-118.0467,96.12,19,0,5.01,clear sky
2,Bilibino,RU,68.0546,166.4372,8.71,92,100,6.08,overcast clouds
3,Durres,AL,41.3231,19.4414,51.98,77,82,5.53,broken clouds
4,Port Macquarie,AU,-31.4333,152.9167,66.88,47,0,10.45,clear sky
5,Mataura,NZ,-46.1927,168.8643,48.2,99,100,1.05,overcast clouds
6,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,79,90,16.11,light snow
7,Saint-Philippe,RE,-21.3585,55.7679,74.75,83,96,10.92,overcast clouds
8,Pisco,PE,-13.7,-76.2167,69.85,68,0,9.22,clear sky
9,Cape Town,ZA,-33.9258,18.4232,66.09,72,0,3.0,clear sky
10,Sotnikovskoye,RU,45.0039,43.7772,39.07,72,1,4.94,clear sky
11,Charters Towers,AU,-20.1,146.2667,69.82,29,73,11.52,broken clouds
12,Kapaa,US,22.0752,-159.319,81.12,70,75,3.0,light rain
13,Chapaevsk,RU,52.9813,49.7112,33.01,86,100,10.83,overcast clouds
14,New Norfolk,AU,-42.7826,147.0587,48.92,75,100,3.0,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,73.27,73,44,12.19,scattered clouds
16,Vaini,TO,-21.2,-175.2,78.96,83,40,9.22,scattered clouds
17,Kulebaki,RU,55.4133,42.5325,33.3,98,100,6.91,light snow
18,Abu Dhabi,AE,24.4667,54.3667,80.85,61,0,15.84,clear sky
19,Sitka,US,57.0531,-135.33,41.31,74,100,6.02,light rain
20,Ribeira Grande,PT,38.5167,-28.7,61.2,77,75,9.22,broken clouds
21,Gat,IL,31.61,34.7642,74.91,28,100,6.2,overcast clouds
22,Port Elizabeth,ZA,-33.918,25.5701,64.69,82,20,13.8,few clouds
23,Tomatlan,MX,19.9333,-105.25,86.43,55,0,7.14,clear sky
24,Albany,US,42.6001,-73.9662,44.19,91,97,12.37,light rain
25,Valdivia,CL,-39.8142,-73.2459,57.29,58,22,8.32,few clouds
